Variable O&M ($/MWh) - Newly Built,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
hard coal,9.22246,9.22246,9.22246,9.22246,9.22246,9.22246,9.22246,9.22246,9.22246,9.22246,9.22246,9.22246,9.22246,9.22246,9.22246,9.22246,9.22246,9.22246,9.22246,9.22246,9.22246,9.22246,9.22246,9.22246,9.22246,9.22246,9.22246,9.22246,9.22246,9.22246,9.22246,9.22246
natural gas nonpeaker,1.56252,1.56252,1.56252,1.56252,1.56252,1.56252,1.56252,1.56252,1.56252,1.56252,1.56252,1.56252,1.56252,1.56252,1.56252,1.56252,1.56252,1.56252,1.56252,1.56252,1.56252,1.56252,1.56252,1.56252,1.56252,1.56252,1.56252,1.56252,1.56252,1.56252,1.56252,1.56252
nuclear,2.1118972332,2.1118972332,2.1118972332,2.1118972332,2.1118972332,2.1118972332,2.1118972332,2.1118972332,2.1118972332,2.1118972332,2.1118972332,2.1118972332,2.1118972332,2.1118972332,2.1118972332,2.1118972332,2.1118972332,2.1118972332,2.1118972332,2.1118972332,2.1118972332,2.1118972332,2.1118972332,2.1118972332,2.1118972332,2.1118972332,2.1118972332,2.1118972332,2.1118972332,2.1118972332,2.1118972332,2.1118972332
hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onshore wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar PV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar thermal,3.143127965,3.143127965,2.591167775,2.591167775,2.591167775,2.591167775,2.591167775,2.591167775,2.591167775,2.591167775,2.591167775,2.591167775,2.591167775,2.591167775,2.591167775,2.591167775,2.591167775,2.591167775,2.591167775,2.591167775,2.591167775,2.591167775,2.591167775,2.591167775,2.591167775,2.591167775,2.591167775,2.591167775,2.591167775,2.591167775,2.591167775,0.0
biomass,4.3036561265,4.3036561265,4.3036561265,4.3036561265,4.3036561265,4.3036561265,4.3036561265,4.3036561265,4.3036561265,4.3036561265,4.3036561265,4.3036561265,4.3036561265,4.3036561265,4.3036561265,4.3036561265,4.3036561265,4.3036561265,4.3036561265,4.3036561265,4.3036561265,4.3036561265,4.3036561265,4.3036561265,4.3036561265,4.3036561265,4.3036561265,4.3036561265,4.3036561265,4.3036561265,4.3036561265,4.3036561265
geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
petroleum,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557
natural gas peaker,4.43612,4.43612,4.43612,4.43612,4.43612,4.43612,4.43612,4.43612,4.43612,4.43612,4.43612,4.43612,4.43612,4.43612,4.43612,4.43612,4.43612,4.43612,4.43612,4.43612,4.43612,4.43612,4.43612,4.43612,4.43612,4.43612,4.43612,4.43612,4.43612,4.43612,4.43612,4.43612
lignite,15.6239322353,15.6239322353,15.6239322353,15.6239322353,15.6239322353,15.6239322353,15.6239322353,15.6239322353,15.6239322353,15.6239322353,15.6239322353,15.6239322353,15.6239322353,15.6239322353,15.6239322353,15.6239322353,15.6239322353,15.6239322353,15.6239322353,15.6239322353,15.6239322353,15.6239322353,15.6239322353,15.6239322353,15.6239322353,15.6239322353,15.6239322353,15.6239322353,15.6239322353,15.6239322353,15.6239322353,15.6239322353
offshore wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crude oil,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557
heavy or residual fuel oil,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557,2.2124867557
municipal solid waste,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066
