Unit: BTU,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Unnamed: 32
agriculture and forestry 01T03,156790815559.0364,154657685611.6384,151085774985.95767,154433608894.66635,157781442803.37506,161129276712.08374,164477110620.79242,167824944529.5011,171172778438.20975,174520612346.91843,177868446255.6271,181216280164.3358,184564114073.04446,187911947981.7531,191259781890.4618,194607615799.17047,197955449707.87915,201303283616.58783,204651117525.2965,207998951434.0052,211346785342.71387,214694619251.42255,218042453160.13123,221390287068.83994,224738120977.5486,228085954886.2573,231433788794.96597,234781622703.67462,238129456612.3833,241477290521.092,244825124429.80066,6052156542699.17
coal mining 05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil and gas extraction 06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other mining and quarrying 07T08,1586745168.2956111,1802673129.3219516,1745653397.807697,1751531018.6757362,1757408639.5437758,1763286260.4118152,1763286260.4118152,1763286260.4118152,1763286260.4118152,1763286260.4118152,1763286260.4118152,1810307227.3561301,1857328194.300445,1904349161.24476,1951370128.1890755,1998391095.1333904,2030718009.9076068,2063044924.6818235,2095371839.4560397,2127698754.2302563,2160025669.004473,2195291394.2127094,2230557119.4209456,2265822844.6291814,2301088569.837418,2336354295.0456543,2374558830.6879106,2412763366.3301663,2450967901.9724226,2489172437.6146784,2527376973.256934,62806287652.62768
food beverage and tobacco 10T12,810582781318.8735,707915815282.4495,732541324555.7947,729930398654.2756,727319472752.7565,724708546851.2373,722125405807.2273,719542264763.2173,716959123719.2073,714375982675.1974,711792841631.1875,709674311264.7416,707555780898.2957,705437250531.8496,703318720165.4037,701200189798.9578,699689741856.0481,698179293913.1385,696668845970.2289,695158398027.3193,693647950084.4097,693562820607.783,693477691131.1562,693392561654.5295,693307432177.9027,693222302701.276,695271992773.2649,697321682845.2539,699371372917.2429,701421062989.232,703470753061.2211,21992144113380.68
textiles apparel and leather 13T15,2111619261.5016088,2477951125.546793,2329928373.550487,2313915120.124023,2297901866.6975594,2281888613.2710958,2265875359.844632,2249862106.418168,2233848852.991704,2217835599.5652404,2201822346.138777,2193815719.4255447,2185809092.712313,2177802465.999081,2169795839.2858496,2161789212.5726175,2153782585.8593855,2145775959.1461537,2137769332.432922,2129762705.71969,2121756079.0064578,2113749452.293226,2105742825.5799942,2097736198.8667626,2089729572.1535308,2081722945.4402986,2081722945.4402986,2081722945.4402986,2081722945.4402986,2081722945.4402986,2081722945.4402986,67457603339.345406
wood products 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulp paper and printing 17T18,80638088622.0691,83052689027.79683,87374361414.02301,88809326252.63129,90244291091.23955,91679255929.84781,93161939314.15802,94644622698.46823,96127306082.77844,97609989467.08864,99092672851.39885,100532750391.33234,101972827931.26581,103412905471.19928,104852983011.13277,106293060551.06625,107642813700.92105,108992566850.77586,110342320000.63069,111692073150.4855,113041826300.34032,114267170384.61507,115492514468.88983,116717858553.16458,117943202637.43935,119168546721.7141,120235397064.90742,121302247408.10072,122369097751.29407,123435948094.48737,124502798437.68071,3266645451632.942
refined petroleum and coke 19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chemicals 20,2584455200.5347104,2727824740.8303246,2744809357.220185,2906268731.174313,3067728105.128442,3229187479.08257,3229187479.08257,3229187479.08257,3229187479.08257,3229187479.08257,3229187479.08257,3390646853.036699,3552106226.990827,3713565600.9449563,3875024974.8990846,4036484348.853213,4036484348.853213,4036484348.853213,4036484348.853213,4036484348.853213,4036484348.853213,4036484348.853213,4036484348.853213,4036484348.853213,4036484348.853213,4036484348.853213,4359403096.76147,4682321844.669726,5005240592.577984,5328159340.48624,5651078088.394497,117365085465.5302
rubber and plastic products 22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass and glass products 231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement and other nonmetallic minerals 239,81002369337.2198,86076268957.82317,83817299589.24364,85434368239.8807,87051436890.51779,88668505541.15488,90376355267.6024,92084204994.04994,93792054720.49747,95499904446.94498,97207754173.39252,99119169305.09698,101030584436.80145,102941999568.50592,104853414700.21039,106764829831.91486,108212824467.54482,109660819103.17479,111108813738.80478,112556808374.43472,114004803010.06471,115937878946.83603,117870954883.60736,119804030820.37871,121737106757.15005,123670182693.92136,125712149526.7107,127754116359.49998,129796083192.28929,131838050025.07863,133880016857.86794,3299265158758.2207
iron and steel 241,150653239297.96213,158673299659.8661,153438874323.449,156583947893.07498,159729021462.70093,162874095032.3269,165989268414.83322,169104441797.33954,172219615179.84586,175334788562.35217,178449961944.8585,181477288029.45895,184504614114.0594,187531940198.65982,190559266283.26025,193586592367.86072,196599960246.38324,199613328124.90576,202626696003.42825,205640063881.95074,208653431760.4733,211943418786.09363,215233405811.714,218523392837.33435,221813379862.95468,225103366888.575,228297395325.89447,231491423763.214,234685452200.5335,237879480637.853,241073509075.1724,6019887959768.389
other metals 242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metal products except machinery and vehicles 25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
computers and electronics 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appliances and electrical equipment 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other machinery 28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
road vehicles 29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nonroad vehicles 30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other manufacturing 31T33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy pipelines and gas processing 352T353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water and waste 36T39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
construction 41T43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
