,ISIC 01T03,ISIC 05,ISIC 06,ISIC 07T08,ISIC 09,ISIC 10T12,ISIC 13T15,ISIC 16,ISIC 17T18,ISIC 19,ISIC 20,ISIC 21,ISIC 22,ISIC 231,ISIC 239,ISIC 241,ISIC 242,ISIC 25,ISIC 26,ISIC 27,ISIC 28,ISIC 29,ISIC 30,ISIC 31T33,ISIC 351,ISIC 352T353,ISIC 36T39,ISIC 41T43,ISIC 45T47,ISIC 49T53,ISIC 55T56,ISIC 58T60,ISIC 61,ISIC 62T63,ISIC 64T66,ISIC 68,ISIC 69T82,ISIC 84,ISIC 85,ISIC 86T88,ISIC 90T96,ISIC 97T98
ISIC 01T03,1.0640,0.0000,0.0000,0.0100,0.0100,0.3520,0.0460,0.1510,0.0640,0.0630,0.0000,0.0000,0.0340,0.0000,0.0000,0.0000,0.0000,0.0110,0.0090,0.0120,0.0090,0.0120,0.0110,0.0150,0.0000,0.0000,0.0000,0.0110,0.0080,0.0140,0.0940,0.0100,0.0060,0.0040,0.0040,0.0020,0.0070,0.0080,0.0080,0.0110,0.0150,0.0000
ISIC 05,0.0041,0.6341,0.0000,0.0000,0.0022,0.0008,0.0000,0.0005,0.0000,0.0009,0.0366,0.0000,0.0000,0.0109,0.0163,0.1707,0.0113,0.0005,0.0000,0.0001,0.0000,0.0028,0.0001,0.0000,0.0350,0.0175,0.0000,0.0059,0.0041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000
ISIC 06,0.0000,0.0000,0.7986,0.0003,0.0000,0.0015,0.0002,0.0002,0.0025,0.1022,0.0046,0.0002,0.0004,0.0011,0.0016,0.0015,0.0013,0.0017,0.0000,0.0001,0.0011,0.0004,0.0000,0.0000,0.0389,0.0194,0.0000,0.0000,0.0017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ISIC 07T08,0.0060,0.0000,0.0000,1.0350,0.0140,0.0060,0.0030,0.0040,0.0060,0.0060,0.0000,0.0000,0.0080,0.0000,0.0000,0.0123,0.0000,0.0390,0.0050,0.0390,0.0190,0.0240,0.0210,0.0140,0.0000,0.0000,0.0000,0.0260,0.0020,0.0030,0.0020,0.0020,0.0020,0.0010,0.0010,0.0010,0.0010,0.0020,0.0010,0.0020,0.0030,0.0000
ISIC 09,0.0050,0.0008,0.0000,0.0200,1.0670,0.0040,0.0010,0.0030,0.0040,0.0220,0.0005,0.0000,0.0040,0.0008,0.0011,0.0472,0.1268,0.0030,0.0010,0.0030,0.0020,0.0020,0.0020,0.0020,0.0000,0.0000,0.0000,0.0040,0.0010,0.0040,0.0010,0.0010,0.0010,0.0000,0.0000,0.0000,0.0010,0.0010,0.0000,0.0010,0.0010,0.0000
ISIC 10T12,0.0520,0.0002,0.0000,0.0110,0.0120,1.1900,0.0330,0.0210,0.0300,0.0320,0.0006,0.0006,0.0400,0.0000,0.0000,0.0000,0.0000,0.0150,0.0120,0.0180,0.0120,0.0160,0.0150,0.0140,0.0000,0.0000,0.0000,0.0100,0.0100,0.0120,0.2420,0.0140,0.0080,0.0050,0.0060,0.0020,0.0120,0.0120,0.0150,0.0220,0.0240,0.0000
ISIC 13T15,0.0040,0.0003,0.0002,0.0020,0.0040,0.0040,1.3080,0.0030,0.0080,0.0030,0.0013,0.0001,0.0100,0.0003,0.0005,0.0000,0.0000,0.0050,0.0030,0.0030,0.0030,0.0120,0.0100,0.0150,0.0001,0.0000,0.0000,0.0030,0.0040,0.0020,0.0040,0.0040,0.0020,0.0010,0.0010,0.0000,0.0020,0.0020,0.0010,0.0050,0.0080,0.0000
ISIC 16,0.0030,0.0000,0.0000,0.0030,0.0040,0.0030,0.0020,1.1320,0.0080,0.0020,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0050,0.0020,0.0030,0.0050,0.0040,0.0070,0.0460,0.0003,0.0002,0.0000,0.0100,0.0020,0.0020,0.0010,0.0030,0.0020,0.0010,0.0010,0.0020,0.0010,0.0010,0.0010,0.0020,0.0040,0.0000
ISIC 17T18,0.0080,0.0000,0.0000,0.0090,0.0070,0.0260,0.0210,0.0420,1.1650,0.0080,0.0019,0.0002,0.0340,0.0005,0.0008,0.0000,0.0001,0.0240,0.0320,0.0170,0.0110,0.0180,0.0120,0.0180,0.0000,0.0000,0.0001,0.0090,0.0100,0.0080,0.0120,0.0680,0.0190,0.0130,0.0100,0.0020,0.0140,0.0100,0.0070,0.0100,0.0210,0.0000
ISIC 19,0.1010,0.0001,0.0056,0.1160,0.0760,0.0880,0.0530,0.0720,0.0900,1.4900,0.0138,0.0000,0.1240,0.0008,0.0011,0.0010,0.0002,0.0630,0.0460,0.0810,0.0470,0.0680,0.0580,0.0490,0.0002,0.0001,0.0001,0.0580,0.0240,0.2320,0.0400,0.0220,0.0170,0.0110,0.0140,0.0050,0.0180,0.0240,0.0110,0.0240,0.0360,0.0000
ISIC 20,0.0303,0.0031,0.0066,0.0007,0.0010,0.0054,0.0037,0.0013,0.0067,0.0014,0.3222,0.0093,0.0269,0.0028,0.0043,0.0020,0.0042,0.0027,0.0004,0.0043,0.0007,0.0008,0.0026,0.0006,0.0002,0.0001,0.0012,0.0022,0.0058,0.0002,0.0001,0.0001,0.0001,0.0000,0.0001,0.0001,0.0010,0.0012,0.0004,0.0007,0.0011,0.0000
ISIC 21,0.0023,0.0000,0.0042,0.0000,0.0000,0.0016,0.0000,0.0000,0.0000,0.0000,0.0028,0.7965,0.0002,0.0004,0.0006,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0927,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0071,0.0023,0.0346,0.0018,0.0000
ISIC 22,0.0110,0.0001,0.0003,0.0190,0.0160,0.0380,0.0190,0.0190,0.0310,0.0110,0.0039,0.0007,1.1730,0.0020,0.0031,0.0017,0.0003,0.0200,0.0340,0.0480,0.0340,0.0980,0.0370,0.0420,0.0001,0.0000,0.0003,0.0330,0.0100,0.0240,0.0120,0.0060,0.0050,0.0040,0.0030,0.0020,0.0060,0.0060,0.0030,0.0080,0.0110,0.0000
ISIC 231,0.0000,0.0016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0002,0.0000,0.0011,0.3848,0.5772,0.0005,0.0000,0.0028,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0114,0.0158,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ISIC 239,0.0000,0.0066,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3910,0.5865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0153,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ISIC 241,0.0075,0.0057,0.0000,0.0000,0.0001,0.0017,0.0001,0.0001,0.0005,0.0000,0.0028,0.0002,0.0019,0.2853,0.4280,0.1913,0.0017,0.0021,0.0000,0.0013,0.0022,0.0039,0.0022,0.0005,0.0001,0.0000,0.0001,0.0345,0.0004,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0011,0.0000,0.0003,0.0002,0.0002,0.0001,0.0000
ISIC 242,0.0002,0.0001,0.0022,0.0000,0.0025,0.0006,0.0000,0.0001,0.0006,0.0000,0.0015,0.0000,0.0019,0.0004,0.0006,0.5293,0.3186,0.0353,0.0006,0.0261,0.0147,0.0083,0.0055,0.0026,0.0002,0.0001,0.0004,0.0259,0.0019,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
ISIC 25,0.0080,0.0000,0.0000,0.0230,0.0230,0.0220,0.0070,0.0240,0.0100,0.0110,0.0000,0.0000,0.0100,0.0000,0.0000,0.0008,0.8946,1.1030,0.0240,0.0480,0.0620,0.0460,0.0540,0.0410,0.0000,0.0000,0.0000,0.0450,0.0050,0.0070,0.0120,0.0040,0.0040,0.0020,0.0020,0.0020,0.0040,0.0070,0.0020,0.0050,0.0080,0.0000
ISIC 26,0.0020,0.0000,0.0011,0.0070,0.0080,0.0030,0.0030,0.0040,0.0100,0.0050,0.0005,0.0001,0.0040,0.0003,0.0004,0.0148,0.0028,0.0040,1.4560,0.0240,0.0200,0.0120,0.0210,0.0160,0.0023,0.0012,0.0003,0.0050,0.0040,0.0040,0.0020,0.0110,0.0080,0.0270,0.0050,0.0010,0.0050,0.0070,0.0050,0.0110,0.0140,0.0000
ISIC 27,0.0040,0.0001,0.0032,0.0090,0.0100,0.0050,0.0040,0.0060,0.0070,0.0050,0.0005,0.0001,0.0060,0.0005,0.0008,0.0023,0.0042,0.0080,0.0560,1.1600,0.0440,0.0250,0.0320,0.0310,0.0188,0.0094,0.0008,0.0240,0.0040,0.0070,0.0030,0.0040,0.0100,0.0030,0.0020,0.0020,0.0040,0.0050,0.0020,0.0050,0.0100,0.0000
ISIC 28,0.0050,0.0006,0.0064,0.0780,0.0530,0.0060,0.0050,0.0120,0.0100,0.0180,0.0000,0.0000,0.0080,0.0005,0.0008,0.0010,0.0028,0.0160,0.0160,0.0290,1.2190,0.0290,0.0630,0.0950,0.0000,0.0000,0.0000,0.0180,0.0050,0.0080,0.0030,0.0040,0.0040,0.0030,0.0030,0.0020,0.0040,0.0100,0.0020,0.0050,0.0080,0.0000
ISIC 29,0.0040,0.0001,0.0043,0.0080,0.0090,0.0060,0.0060,0.0050,0.0060,0.0060,0.0008,0.0000,0.0070,0.0006,0.0009,0.0013,0.0014,0.0070,0.0120,0.0120,0.0150,1.2960,0.0240,0.0090,0.0000,0.0000,0.0001,0.0060,0.0150,0.0280,0.0040,0.0040,0.0040,0.0020,0.0020,0.0010,0.0030,0.0040,0.0020,0.0030,0.0060,0.0000
ISIC 30,0.0010,0.0000,0.0000,0.0030,0.0020,0.0020,0.0010,0.0020,0.0020,0.0030,0.0001,0.0000,0.0020,0.0001,0.0002,0.0002,0.0018,0.0030,0.0030,0.0050,0.0090,0.0040,1.2960,0.0030,0.0000,0.0000,0.0000,0.0030,0.0020,0.0090,0.0010,0.0010,0.0010,0.0010,0.0010,0.0000,0.0020,0.0170,0.0000,0.0010,0.0020,0.0000
ISIC 31T33,0.0090,0.0000,0.0003,0.0360,0.0280,0.0150,0.0190,0.0350,0.0510,0.0190,0.0035,0.0028,0.0190,0.0025,0.0038,0.0001,0.0022,0.0380,0.0170,0.0340,0.0330,0.0320,0.0340,1.0490,0.0003,0.0001,0.0002,0.0210,0.0070,0.0150,0.0080,0.0180,0.0100,0.0090,0.0050,0.0050,0.0080,0.0090,0.0060,0.0210,0.0130,0.0000
ISIC 351,0.0002,0.0027,0.0070,0.0042,0.0031,0.0026,0.0007,0.0018,0.0087,0.0010,0.0019,0.0023,0.0018,0.0038,0.0057,0.0347,0.0072,0.0071,0.0034,0.0023,0.0159,0.0011,0.0031,0.6805,0.0004,0.0002,0.0038,0.0083,0.0895,0.0038,0.0004,0.0011,0.0019,0.0033,0.0005,0.0003,0.0041,0.0007,0.0000,0.0000,0.0014,0.0000
ISIC 352T353,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6654,0.3327,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0018,0.0000,0.0000,0.0000,0.0000
ISIC 36T39,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9661,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0339,0.0000,0.0000,0.0000,0.0000
ISIC 41T43,0.0050,0.0000,0.0130,0.0290,0.0220,0.0060,0.0050,0.0050,0.0060,0.0110,0.0000,0.0000,0.0060,0.0000,0.0000,0.0000,0.0000,0.0100,0.0090,0.0090,0.0080,0.0110,0.0110,0.0060,0.0000,0.0000,0.0000,1.1070,0.0110,0.0110,0.0060,0.0080,0.0380,0.0090,0.0100,0.0280,0.0100,0.0280,0.0060,0.0130,0.0200,0.0000
ISIC 45T47,0.1350,0.0001,0.0000,0.1520,0.1440,0.2180,0.1960,0.1420,0.1730,0.2210,0.0007,0.0002,0.2160,0.0001,0.0002,0.0002,0.0001,0.1300,0.3060,0.2100,0.2220,0.1900,0.2210,0.1740,0.0000,0.0000,0.0000,0.1250,1.1830,0.1800,0.1470,0.1730,0.1500,0.1170,0.0500,0.0140,0.0930,0.0650,0.0480,0.0930,0.1380,0.0000
ISIC 49T53,0.0530,0.0000,0.0045,0.0700,0.0600,0.1010,0.0740,0.0850,0.1010,0.1060,0.0004,0.0001,0.0870,0.0001,0.0001,0.0003,0.0000,0.0790,0.1110,0.0990,0.0850,0.1060,0.0870,0.0700,0.0002,0.0001,0.0001,0.0570,0.0330,1.0900,0.0560,0.0380,0.0320,0.0220,0.0290,0.0060,0.0290,0.0320,0.0220,0.0290,0.0490,0.0000
ISIC 55T56,0.0070,0.0000,0.0006,0.0120,0.0230,0.0130,0.0090,0.0090,0.0120,0.0140,0.0003,0.0005,0.0130,0.0001,0.0001,0.0004,0.0001,0.0130,0.0160,0.0140,0.0160,0.0210,0.0210,0.0120,0.0004,0.0002,0.0000,0.0100,0.0130,0.0180,1.0090,0.0350,0.0140,0.0100,0.0170,0.0040,0.0360,0.0180,0.0180,0.0400,0.0410,0.0000
ISIC 58T60,0.0040,0.0000,0.0000,0.0070,0.0070,0.0080,0.0060,0.0060,0.0080,0.0080,0.0000,0.0000,0.0070,0.0000,0.0000,0.0000,0.0000,0.0060,0.0110,0.0080,0.0070,0.0100,0.0120,0.0070,0.0000,0.0000,0.0000,0.0050,0.0100,0.0070,0.0050,1.1970,0.1200,0.0060,0.0110,0.0020,0.0300,0.0100,0.0140,0.0080,0.0360,0.0000
ISIC 61,0.0050,0.0000,0.0000,0.0080,0.0100,0.0120,0.0160,0.0100,0.0150,0.0090,0.0000,0.0000,0.0110,0.0000,0.0000,0.0000,0.0000,0.0120,0.0250,0.0160,0.0120,0.0270,0.0120,0.0120,0.0000,0.0000,0.0000,0.0080,0.0100,0.0100,0.0080,0.0120,1.1480,0.0140,0.0170,0.0020,0.0120,0.0130,0.0090,0.0100,0.0190,0.0000
ISIC 62T63,0.0060,0.0000,0.0000,0.0130,0.0110,0.0130,0.0080,0.0080,0.0120,0.0110,0.0001,0.0001,0.0120,0.0000,0.0000,0.0001,0.0000,0.0110,0.0170,0.0170,0.0110,0.0190,0.0160,0.0100,0.0007,0.0003,0.0003,0.0080,0.0120,0.0160,0.0070,0.0360,0.0370,1.0670,0.0370,0.0030,0.0180,0.0190,0.0100,0.0140,0.0270,0.0000
ISIC 64T66,0.0520,0.0000,0.0005,0.0670,0.0530,0.0590,0.0550,0.0550,0.0580,0.0650,0.0002,0.0001,0.0590,0.0001,0.0001,0.0002,0.0001,0.0610,0.0610,0.0620,0.0580,0.0680,0.0690,0.0510,0.0005,0.0003,0.0002,0.0490,0.0420,0.0620,0.0400,0.0430,0.0480,0.0370,1.2010,0.0450,0.0410,0.0380,0.0250,0.0360,0.0610,0.0000
ISIC 68,0.0100,0.0001,0.0008,0.0140,0.0140,0.0180,0.0200,0.0130,0.0160,0.0180,0.0026,0.0008,0.0200,0.0007,0.0010,0.0033,0.0038,0.0150,0.0230,0.0180,0.0170,0.0180,0.0250,0.0150,0.0040,0.0020,0.0010,0.0120,0.0470,0.0220,0.0290,0.0220,0.0300,0.0190,0.0250,1.0100,0.0270,0.0230,0.0180,0.0300,0.0460,0.0000
ISIC 69T82,0.0840,0.0001,0.0052,0.1700,0.1620,0.1780,0.1020,0.1210,0.1600,0.1980,0.0008,0.0012,0.1680,0.0002,0.0003,0.0005,0.0003,0.1460,0.2330,0.1880,0.1680,0.2120,0.1810,0.1530,0.0008,0.0004,0.0007,0.1130,0.1040,0.1670,0.1020,0.1800,0.1980,0.1340,0.1090,0.0210,1.1720,0.0780,0.0760,0.0910,0.1530,0.0000
ISIC 84,0.0030,0.0000,0.0000,0.0060,0.0050,0.0060,0.0030,0.0040,0.0050,0.0060,0.0000,0.0000,0.0060,0.0000,0.0000,0.0000,0.0000,0.0040,0.0060,0.0070,0.0050,0.0070,0.0060,0.0040,0.0000,0.0000,0.0000,0.0030,0.0030,0.0040,0.0030,0.0040,0.0040,0.0030,0.0040,0.0010,0.0040,1.0050,0.0020,0.0060,0.0070,0.0000
ISIC 85,0.0010,0.0000,0.0000,0.0020,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0000,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,0.0010,0.0020,0.0020,0.0020,0.0020,0.0010,0.0010,0.0000,0.0000,0.0000,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0020,0.0000,0.0020,0.0020,1.0010,0.0020,0.0030,0.0000
ISIC 86T88,0.0010,0.0000,0.0000,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0020,0.0000,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,0.0010,0.0020,0.0020,0.0010,0.0020,0.0020,0.0010,0.0000,0.0000,0.0000,0.0010,0.0030,0.0010,0.0010,0.0010,0.0020,0.0010,0.0050,0.0000,0.0040,0.0110,0.0010,1.0420,0.0170,0.0000
ISIC 90T96,0.0030,0.0000,0.0000,0.0080,0.0090,0.0050,0.0050,0.0050,0.0050,0.0060,0.0000,0.0000,0.0050,0.0000,0.0000,0.0000,0.0000,0.0060,0.0110,0.0060,0.0060,0.0070,0.0080,0.0040,0.0000,0.0000,0.0000,0.0030,0.0060,0.0050,0.0040,0.0090,0.0290,0.0100,0.0060,0.0010,0.0070,0.0060,0.0040,0.0170,1.0400,0.0000
ISIC 97T98,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
